"Observation station","Year","Month","Day","Time [Local time]","Precipitation amount [mm]","Snow depth [cm]","Average temperature [°C]","Minimum temperature [°C]"
"Vantaa Helsinki-Vantaa airport","2010","1","1","02:00","0.1","41","-14.2","-16.9"
"Vantaa Helsinki-Vantaa airport","2010","1","2","02:00","0.1","40","-18.9","-20.8"
"Vantaa Helsinki-Vantaa airport","2010","1","3","02:00","1.1","38","-15.8","-25.6"
"Vantaa Helsinki-Vantaa airport","2010","1","4","02:00","2.9","40","-6.8","-9"
"Vantaa Helsinki-Vantaa airport","2010","1","5","02:00","0.6","44","-11.4","-19.1"
"Vantaa Helsinki-Vantaa airport","2010","1","6","02:00","0.9","45","-15.2","-19.6"
"Vantaa Helsinki-Vantaa airport","2010","1","7","02:00","3.3","46","-10.1","-12.7"
"Vantaa Helsinki-Vantaa airport","2010","1","8","02:00","0","43","-17.6","-20.5"
"Vantaa Helsinki-Vantaa airport","2010","1","9","02:00","0.1","41","-18.5","-22.1"
"Vantaa Helsinki-Vantaa airport","2010","1","10","02:00","0.2","40","-17.7","-21.7"
"Vantaa Helsinki-Vantaa airport","2010","1","11","02:00","0.1","39","-10.8","-17.4"
"Vantaa Helsinki-Vantaa airport","2010","1","12","02:00","0.2","39","-3.6","-6.4"
"Vantaa Helsinki-Vantaa airport","2010","1","13","02:00","0.1","38","-4.7","-5.9"
"Vantaa Helsinki-Vantaa airport","2010","1","14","02:00","0.2","38","-5.6","-7"
"Vantaa Helsinki-Vantaa airport","2010","1","15","02:00","0.1","38","-4.7","-5.6"
"Vantaa Helsinki-Vantaa airport","2010","1","16","02:00","0.1","38","-5","-5.8"
"Vantaa Helsinki-Vantaa airport","2010","1","17","02:00","0.2","38","-7.6","-9.1"
"Vantaa Helsinki-Vantaa airport","2010","1","18","02:00","0.1","38","-8.4","-10.6"
"Vantaa Helsinki-Vantaa airport","2010","1","19","02:00","0","38","-8.8","-11.8"
"Vantaa Helsinki-Vantaa airport","2010","1","20","02:00","-1","38","-14.2","-15.5"
"Vantaa Helsinki-Vantaa airport","2010","1","21","02:00","0.2","38","-17.7","-19.7"
"Vantaa Helsinki-Vantaa airport","2010","1","22","02:00","0.1","38","-15.4","-17.1"
"Vantaa Helsinki-Vantaa airport","2010","1","23","02:00","0.5","40","-18.3","-19.6"
"Vantaa Helsinki-Vantaa airport","2010","1","24","02:00","0.4","40","-18.8","-23"
"Vantaa Helsinki-Vantaa airport","2010","1","25","02:00","0.1","40","-10.9","-15"
"Vantaa Helsinki-Vantaa airport","2010","1","26","02:00","0.1","41","-18.6","-22"
"Vantaa Helsinki-Vantaa airport","2010","1","27","02:00","0.1","41","-19.7","-27.7"
"Vantaa Helsinki-Vantaa airport","2010","1","28","02:00","1.3","41","-17.5","-19.5"
"Vantaa Helsinki-Vantaa airport","2010","1","29","02:00","1.8","44","-13.9","-17"
"Vantaa Helsinki-Vantaa airport","2010","1","30","02:00","4.5","49","-9.1","-12.8"
"Vantaa Helsinki-Vantaa airport","2010","1","31","02:00","2.2","57","-3.4","-9.1"
"Vantaa Helsinki-Vantaa airport","2010","2","1","02:00","11.1","57","-6.6","-11.2"
"Vantaa Helsinki-Vantaa airport","2010","2","2","02:00","0.8","59","-7.1","-9.8"
"Vantaa Helsinki-Vantaa airport","2010","2","3","02:00","0","60","-6.2","-9.9"
"Vantaa Helsinki-Vantaa airport","2010","2","4","02:00","0.4","58","-4.2","-5.8"
"Vantaa Helsinki-Vantaa airport","2010","2","5","02:00","0.1","58","-3.7","-4.7"
"Vantaa Helsinki-Vantaa airport","2010","2","6","02:00","0.2","58","-6.3","-7.9"
"Vantaa Helsinki-Vantaa airport","2010","2","7","02:00","5.4","57","-4.5","-8"
"Vantaa Helsinki-Vantaa airport","2010","2","8","02:00","2.1","60","-3.2","-3.9"
"Vantaa Helsinki-Vantaa airport","2010","2","9","02:00","1.1","61","-8.8","-10.3"
"Vantaa Helsinki-Vantaa airport","2010","2","10","02:00","0.1","62","-13","-15.4"
"Vantaa Helsinki-Vantaa airport","2010","2","11","02:00","0.2","62","-11.3","-17.4"
"Vantaa Helsinki-Vantaa airport","2010","2","12","02:00","0.4","60","-9.4","-11.2"
"Vantaa Helsinki-Vantaa airport","2010","2","13","02:00","0","59","-9.4","-10.2"
"Vantaa Helsinki-Vantaa airport","2010","2","14","02:00","0","59","-12.4","-19.8"
"Vantaa Helsinki-Vantaa airport","2010","2","15","02:00","0.1","58","-10.9","-17.2"
"Vantaa Helsinki-Vantaa airport","2010","2","16","02:00","0.2","57","-9","-10.7"
"Vantaa Helsinki-Vantaa airport","2010","2","17","02:00","0.9","57","-9.3","-11.4"
"Vantaa Helsinki-Vantaa airport","2010","2","18","02:00","0.2","58","-13.5","-14.8"
"Vantaa Helsinki-Vantaa airport","2010","2","19","02:00","2.2","58","-16.1","-18.7"
"Vantaa Helsinki-Vantaa airport","2010","2","20","02:00","6.1","58","-19.4","-22.1"
"Vantaa Helsinki-Vantaa airport","2010","2","21","02:00","1.4","53","-17.8","-20"
"Vantaa Helsinki-Vantaa airport","2010","2","22","02:00","1","53","-13.4","-16.3"
"Vantaa Helsinki-Vantaa airport","2010","2","23","02:00","9.2","56","-12.8","-22.3"
"Vantaa Helsinki-Vantaa airport","2010","2","24","02:00","0.1","68","-13.9","-17"
"Vantaa Helsinki-Vantaa airport","2010","2","25","02:00","-1","68","-8.8","-16.5"
"Vantaa Helsinki-Vantaa airport","2010","2","26","02:00","1.4","66","-4","-10.7"
"Vantaa Helsinki-Vantaa airport","2010","2","27","02:00","1","64","-0.2","-1.2"
"Vantaa Helsinki-Vantaa airport","2010","2","28","02:00","3.4","61","0.8","0"
"Vantaa Helsinki-Vantaa airport","2010","3","1","02:00","4.7","59","0.1","-0.3"
"Vantaa Helsinki-Vantaa airport","2010","3","2","02:00","0.6","61","-0.3","-0.4"
"Vantaa Helsinki-Vantaa airport","2010","3","3","02:00","1.2","60","-4.9","-6.9"
"Vantaa Helsinki-Vantaa airport","2010","3","4","02:00","0.7","60","-4.3","-6.5"
"Vantaa Helsinki-Vantaa airport","2010","3","5","02:00","-1","60","-7.2","-9.7"
"Vantaa Helsinki-Vantaa airport","2010","3","6","02:00","0.1","60","-8.7","-15.6"
"Vantaa Helsinki-Vantaa airport","2010","3","7","02:00","0","60","-8.3","-11.1"
"Vantaa Helsinki-Vantaa airport","2010","3","8","02:00","0.1","59","-4.7","-14.6"
"Vantaa Helsinki-Vantaa airport","2010","3","9","02:00","-1","60","-3.5","-9.3"
"Vantaa Helsinki-Vantaa airport","2010","3","10","02:00","0","60","1.8","-5.4"
"Vantaa Helsinki-Vantaa airport","2010","3","11","02:00","3.9","59","0.2","-1.7"
"Vantaa Helsinki-Vantaa airport","2010","3","12","02:00","0.4","62","-2.7","-6.5"
"Vantaa Helsinki-Vantaa airport","2010","3","13","02:00","0.1","61","-5","-11.1"
"Vantaa Helsinki-Vantaa airport","2010","3","14","02:00","0.6","60","-6.8","-11.5"
"Vantaa Helsinki-Vantaa airport","2010","3","15","02:00","0","61","-9.1","-13"
"Vantaa Helsinki-Vantaa airport","2010","3","16","02:00","0.2","61","-9.4","-17"
"Vantaa Helsinki-Vantaa airport","2010","3","17","02:00","0.1","60","-9.8","-19.6"
"Vantaa Helsinki-Vantaa airport","2010","3","18","02:00","8.1","62","-4.3","-12.8"
"Vantaa Helsinki-Vantaa airport","2010","3","19","02:00","2.7","71","1.2","-1.8"
"Vantaa Helsinki-Vantaa airport","2010","3","20","02:00","0.3","63","1.1","0.7"
"Vantaa Helsinki-Vantaa airport","2010","3","21","02:00","7","60","0.2","-2.1"
"Vantaa Helsinki-Vantaa airport","2010","3","22","02:00","-1","63","-2.7","-6.6"
"Vantaa Helsinki-Vantaa airport","2010","3","23","02:00","-1","63","-2.6","-9.7"
"Vantaa Helsinki-Vantaa airport","2010","3","24","02:00","-1","62","-2.2","-6.9"
"Vantaa Helsinki-Vantaa airport","2010","3","25","02:00","-1","62","-1.1","-5.7"
"Vantaa Helsinki-Vantaa airport","2010","3","26","02:00","1.3","61","0.9","-2.7"
"Vantaa Helsinki-Vantaa airport","2010","3","27","02:00","10.8","58","2.1","0.9"
"Vantaa Helsinki-Vantaa airport","2010","3","28","02:00","2.4","50","1.7","0.6"
"Vantaa Helsinki-Vantaa airport","2010","3","29","03:00","3.3","46","0.9","-0.5"
"Vantaa Helsinki-Vantaa airport","2010","3","30","03:00","0.8","44","1.4","0.9"
"Vantaa Helsinki-Vantaa airport","2010","3","31","03:00","1.5","41","1.7","-3.3"
"Vantaa Helsinki-Vantaa airport","2010","4","1","03:00","0","37","5","2.8"
"Vantaa Helsinki-Vantaa airport","2010","4","2","03:00","4.7","30","4","1.6"
"Vantaa Helsinki-Vantaa airport","2010","4","3","03:00","9.1","28","3.6","2.2"
"Vantaa Helsinki-Vantaa airport","2010","4","4","03:00","0.4","22","3","2"
"Vantaa Helsinki-Vantaa airport","2010","4","5","03:00","0.5","20","2.9","1.1"
"Vantaa Helsinki-Vantaa airport","2010","4","6","03:00","3","17","2.8","0.7"
"Vantaa Helsinki-Vantaa airport","2010","4","7","03:00","0.1","15","1.8","0"
"Vantaa Helsinki-Vantaa airport","2010","4","8","03:00","0","9","3.2","-0.1"
"Vantaa Helsinki-Vantaa airport","2010","4","9","03:00","-1","5","4.2","3.2"
"Vantaa Helsinki-Vantaa airport","2010","4","10","03:00","-1","3","5.4","0.2"
"Vantaa Helsinki-Vantaa airport","2010","4","11","03:00","-1","1","5.7","1.3"
"Vantaa Helsinki-Vantaa airport","2010","4","12","03:00","-1","0","6.3","2.6"
